sample,original compression file(Byte),our compression file,sorted compression file,original compression time,our compression time,sorted compression time,average prefix length for original,average prefix for us, average prefix length for sorting,forward sequence percentage,reverse comp sequence percentage,our cpu time(S),sorting cpu time,our running time,sorting running time
DRR000001,222567771,171764830,177051992,119,90,88,0.8651458873,23.0796392533,19.8820827274,0.4999957628,0.5000042372,108,155,111,50
DRR000002,182398294,142315738,147752167,99,75,82,0.8675264109,22.6147430176,19.1273617285,0.495367474,0.504632526,73,169,73,52
DRR000003,72699801,56026979,56618014,39,28,31,0.7548048433,14.2635979325,13.4569935719,0.5520148514,0.4479851486,45,108,46,43
ER406998,508413885,266039971,270070673,251,133,133,0.4932430881,64.3172989016,60.5766245741,0.7012412082,0.2987587918,183,313,184,116
ER406999,609954762,114033735,109995179,303,64,61,1.1054075046,123.149560554,121.004038568,0.7720657959,0.2279342041,377,745,378,232
ERR009815,67468111,60801252,61515274,32,30,31,0.4076488976,17.962140504,15.5635875296,0.4953130134,0.5046869866,11,24,12,10
ERR018601,1248900286,1007959901,1028194187,595,499,508,0.3693217835,30.3783392638,25.5958432256,0.5085236061,0.4914763939,463,693,503,270
ERR019065,259357436,217656611,230986939,142,122,124,0.6383353904,34.9530648558,25.9098587326,0.4910270241,0.5089729759,82,160,83,61
ERR233147,188051079,132399532,134613838,93,66,67,0.4001154454,27.3336421465,26.3276959405,0.8116057276,0.1883942724,67,136,68,45
SRR034939,1066715646,971669287,982030416,522,480,483,0.3727423193,19.244321404,15.8661973399,0.5125323321,0.4874676679,320,357,321,137
SRR062421,504715630,310620149,308719121,245,181,180,92.9873400343,157.569635802,156.963734733,0.914983259,0.085016741,336,410,337,184
SRR346694,536055224,333434123,331357829,268,193,192,91.7397828871,156.168628238,153.964333723,0.893574897,0.106425103,342,487,343,205
SRR390728,98675533,125121646,128122137,46,65,68,2.7231194599,20.0954680984,17.7252751799,0.4924071292,0.5075928708,60,135,61,49
Typhi_15098S_solexa,26056161,22228814,22517961,13,11,11,0.7102289306,13.7539628666,12.4798546064,0.4763319909,0.5236680091,12,16,12,5
Typhi_404ty_solexa,39815832,24966790,26945585,20,12,13,0.3592612517,14.9624213602,13.5758046398,0.5638905866,0.4361094134,33,44,33,10
